Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
diagonal/66,1.9723735785148112e-7,1.955793757401924e-7,1.998321107455229e-7,6.549301721354895e-9,4.344322330306481e-9,9.097313141631834e-9
diagonal/1.0x1.0,3.132717083188095e-6,3.103862013289091e-6,3.181318089865294e-6,1.2248517530160546e-7,7.568216152149576e-8,1.8552543241409288e-7
diagonal/1.0x3.0,1.3790309609474842e-6,1.36434857172196e-6,1.4178060051038694e-6,7.306424879622567e-8,3.868506065538694e-8,1.320299045522553e-7
diagonal/25.0x5.0,7.097028065552111e-7,7.018789746914617e-7,7.264832007839182e-7,3.795176504904093e-8,1.739122399179213e-8,6.14946676911609e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
diagonal/66,1.952323326909938e-7,1.9425619742674146e-7,1.9688140300005604e-7,4.079834800423859e-9,2.7250167999790475e-9,5.731983660285506e-9
diagonal/1.0x1.0,3.1339197842149587e-6,3.099589682952659e-6,3.192338014217181e-6,1.4733578256669137e-7,8.8647851008185e-8,2.291715957325143e-7
diagonal/1.0x3.0,1.3813690501024613e-6,1.3640900942085487e-6,1.420862221421981e-6,7.960556091607705e-8,4.727115870638707e-8,1.275136633043406e-7
diagonal/25.0x5.0,7.122683858471456e-7,7.042249442033149e-7,7.268593196715524e-7,3.394951777444786e-8,2.051995775044858e-8,4.959781656394294e-8
